Center Image,Left Image,Right Image,Steering,Throttle,Brake,Speed
/Users/qualityworks/javon/Behavioural Cloning Data/15-10-17/02/IMG/center_2017_10_16_00_47_06_461.jpg,/Users/qualityworks/javon/Behavioural Cloning Data/15-10-17/02/IMG/left_2017_10_16_00_47_06_461.jpg,/Users/qualityworks/javon/Behavioural Cloning Data/15-10-17/02/IMG/right_2017_10_16_00_47_06_461.jpg,0,0,0,1.91E-06
/Users/qualityworks/javon/Behavioural Cloning Data/15-10-17/02/IMG/center_2017_10_16_00_47_06_531.jpg,/Users/qualityworks/javon/Behavioural Cloning Data/15-10-17/02/IMG/left_2017_10_16_00_47_06_531.jpg,/Users/qualityworks/javon/Behavioural Cloning Data/15-10-17/02/IMG/right_2017_10_16_00_47_06_531.jpg,0,0,0,5.08E-07
/Users/qualityworks/javon/Behavioural Cloning Data/15-10-17/02/IMG/center_2017_10_16_00_47_06_639.jpg,/Users/qualityworks/javon/Behavioural Cloning Data/15-10-17/02/IMG/left_2017_10_16_00_47_06_639.jpg,/Users/qualityworks/javon/Behavioural Cloning Data/15-10-17/02/IMG/right_2017_10_16_00_47_06_639.jpg,0,0,0,2.99E-07
/Users/qualityworks/javon/Behavioural Cloning Data/15-10-17/02/IMG/center_2017_10_16_00_47_06_757.jpg,/Users/qualityworks/javon/Behavioural Cloning Data/15-10-17/02/IMG/left_2017_10_16_00_47_06_757.jpg,/Users/qualityworks/javon/Behavioural Cloning Data/15-10-17/02/IMG/right_2017_10_16_00_47_06_757.jpg,0,0,0,1.25E-06
/Users/qualityworks/javon/Behavioural Cloning Data/15-10-17/02/IMG/center_2017_10_16_00_47_06_933.jpg,/Users/qualityworks/javon/Behavioural Cloning Data/15-10-17/02/IMG/left_2017_10_16_00_47_06_933.jpg,/Users/qualityworks/javon/Behavioural Cloning Data/15-10-17/02/IMG/right_2017_10_16_00_47_06_933.jpg,0,0,0,2.97E-06
/Users/qualityworks/javon/Behavioural Cloning Data/15-10-17/02/IMG/center_2017_10_16_00_47_07_006.jpg,/Users/qualityworks/javon/Behavioural Cloning Data/15-10-17/02/IMG/left_2017_10_16_00_47_07_006.jpg,/Users/qualityworks/javon/Behavioural Cloning Data/15-10-17/02/IMG/right_2017_10_16_00_47_07_006.jpg,0,0,0,3.31E-06
/Users/qualityworks/javon/Behavioural Cloning Data/15-10-17/02/IMG/center_2017_10_16_00_47_07_128.jpg,/Users/qualityworks/javon/Behavioural Cloning Data/15-10-17/02/IMG/left_2017_10_16_00_47_07_128.jpg,/Users/qualityworks/javon/Behavioural Cloning Data/15-10-17/02/IMG/right_2017_10_16_00_47_07_128.jpg,0,0,0,2.04E-06
/Users/qualityworks/javon/Behavioural Cloning Data/15-10-17/02/IMG/center_2017_10_16_00_47_07_252.jpg,/Users/qualityworks/javon/Behavioural Cloning Data/15-10-17/02/IMG/left_2017_10_16_00_47_07_252.jpg,/Users/qualityworks/javon/Behavioural Cloning Data/15-10-17/02/IMG/right_2017_10_16_00_47_07_252.jpg,0,0,0,5.30E-06
/Users/qualityworks/javon/Behavioural Cloning Data/15-10-17/02/IMG/center_2017_10_16_00_47_07_322.jpg,/Users/qualityworks/javon/Behavioural Cloning Data/15-10-17/02/IMG/left_2017_10_16_00_47_07_322.jpg,/Users/qualityworks/javon/Behavioural Cloning Data/15-10-17/02/IMG/right_2017_10_16_00_47_07_322.jpg,0,0,0,5.90E-06
/Users/qualityworks/javon/Behavioural Cloning Data/15-10-17/02/IMG/center_2017_10_16_00_47_07_429.jpg,/Users/qualityworks/javon/Behavioural Cloning Data/15-10-17/02/IMG/left_2017_10_16_00_47_07_429.jpg,/Users/qualityworks/javon/Behavioural Cloning Data/15-10-17/02/IMG/right_2017_10_16_00_47_07_429.jpg,0,0,0,6.49E-06
/Users/qualityworks/javon/Behavioural Cloning Data/15-10-17/02/IMG/center_2017_10_16_00_47_07_505.jpg,/Users/qualityworks/javon/Behavioural Cloning Data/15-10-17/02/IMG/left_2017_10_16_00_47_07_505.jpg,/Users/qualityworks/javon/Behavioural Cloning Data/15-10-17/02/IMG/right_2017_10_16_00_47_07_505.jpg,0,0,0,1.16E-06
